Code,Type,Condition,Recovery
-348,hard error,HD-limiter compressor liquid subcooling (F6M5),Over pressure switch F6M5 has operated. Check cooling and fluid flow
-349,hard error,motor protection HT-stage part-winding.1 (QV1.1-HT),HT stage part winding over current QV1.1-HT. Reset by hand. Check power supplies and relays not sticking. Check controller by replacement
-350,hard error,motor protection HT-stage part-winding.2 (QV1.2-HT),HT stage part winding over current QV1.2-HT. Reset by hand. Check power supplies and relays not sticking. Check controller by replacement
-351,hard error,Thermistors in M4 (M4-T1) (LT-stage),NT compressor M4 windings too hot. Thermistor monitoring (M4-T1) Check power supply voltage and phases and machine cooling.
-352,hard error,Oil differential pressure switch LT-stage (F14M4),LT stage oil pressure too low (F14M4). Reset by pressing red button
-353,hard error,LT-stage contactor part-winding 1 (KM4),LT stage part winding start KM4 gives an error. Check for sticking contacts. Check controller. by replacement
-354,hard error,LT-stage part-winding 2 (KM4,LT stage part winding start KM4.1 gives an error. Check for sticking contacts. Check controller by replacement
-355,hard error,motor protection LT -stage (QV1-NT),LT stage over current trip QV1-NT has operated. Reset by hand. Check all power supplies correct
-356,hard error,RF30.1 Pt100 sensor evaporator end MT -stage,
-357,hard error,RF2 Pt100 sensor evaporation end NT-stage,
-358,hard error,RF4M5 Pt100 sensor compressor 1 outlet gas temperature HT-stage,Compressor 1 outlet gas temp sensor RF4M5 - Pt100 HT stage alarm
-359,hard error,RF4M5 Pt100 sensor compressor 2 outlet gas temperature HT-stage,Compressor 2 outlet gas temp sensor RF4M5 - Pt100 HT stage alarm
-360,hard error,RF4M5 Pt100 sensor compressor outlet gas temperature MT-stage,Compressor outlet gas temp sensor RF4M5 - Pt100 MT stage alarm
-361,hard error,The VPC is not responding anymore,VPC no longer answers. Check connections
-362,hard error,M10-F3: Thermo contact condenser fan,M10-F3: Thermo contact of condenser fan has operated. Turn off power.  Check fan for free running.  wait to cool.  turn on power and Check fan rotation.
-363,hard error,M10.1-F3: Thermo contact condenser fan,M10.1-F3: Thermo contact of condenser fan has operated. Turn off power.  Check fan for free running.  wait to cool.  turn on power and Check fan rotation
-364,hard error,The temperature-pressure module 1 was not recognised during initialisation Check connections etc,
-365,hard error,The temperature pressure module 1 is not responding anymore Check connections etc,
-366,hard error,The TDM1 signals: 'Hardware could not be recognised,Check connections etc
-367,hard error,The TDM1 signals: 'Wrong SimFile in Module,
-368,hard error,the TDM1 signals: 'No CAN-communication Check connections etc,
-369,hard error,The TDM1 reported an error,
-370,hard error,The temperature - pressure module 2 was not recognised during initialisation Check connections etc,
-371,hard error,The Temperature - pressure module 2 is not responding. Check connections etc,
-372,hard error,The TDM2 signals: 'Hardware could not be recognized Check connections etc,
-373,hard error,The TDM2 signals: 'Wrong SimFile in module,
-374,hard error,The TDM2 signals: 'No CAN-communication Check connections etc,
-375,hard error,The TDM2 has reported an error,
-376,hard error,The DEM6 did not respond during the start-up phase even though it should have been present. Digital input module DEM 6 not found. Check connections. Are module LEDs lit,
-377,hard error,The DEM6 is not responding anymore,Digital input module DEM 6 no longer answers. Check connections. Are module LEDs lit
-378,hard error,The input 1 of the DEM6 is fluttering,Input 1 of Digital input module DEM6 fluttered. Check connections
-379,hard error,The input 2 of the DEM6 is fluttering,Input 2 of Digital input module DEM6 fluttered. Check connections
-380,hard error,The input 3 of the DEM6 is fluttering,Input 3 of Digital input module DEM6 fluttered. Check connections
-381,hard error,The input 4 of the DEM6 is fluttering,Input 4 of Digital input module DEM6 fluttered. Check connections
-382,hard error,The DEM6 has signalled that it has not received any data from the controller for more than 30s,Check connections on Digital input module DEM6
-383,hard error,The DEM6 has reported an error,Check connections on Digital input module DEM6. The digital input DSEin 1 on the Tango board is open. The digital input DSEin 1 on the Tango board is fluttering. The digital input DSEin 2 on the Tango board is open. The digital input DSEin 2 on the Tango board is fluttering
-388,hard error,The signal of the HT-over pressure trip is fluttering,HT over pressure trip contacts fluttering. Check connections on Pressostat and all connectors. Pressostat should normally be a closed circuit when ok. The signal of the HT-over pressure trip or the thermistor monitoring for the HT compressor is fluttering. Intermittent contact of pressostat.  or thermistor motor monitor. Check wiring for bad contacts. The over pressure trip signal of the HT-Tandem compressor 1 is fluttering. The over pressure trip signal of the HT-Tandem compressor 2 is fluttering
-392,hard error,The over pressure trip signal of MT-compressor is fluttering,Intermittent contact on pressostat of MT compressor. Check wiring for bad connections
-393,hard error,The over pressure trip signal of NT-compressor is fluttering,Intermittant contact on pressostat of NT compressor. Check wiring for bad connections. The signal of the over pressure trip of the additional sub-cooling is fluttering. Intermittent contact on pressostat of additional sub cooling compressor. Check wiring for bad connections
-395,hard error,The temperature in the unit casing has risen above 80 °C. Check ventilation fans operating and air circulation,
-396,hard error,VPC parameter not okay,VPC reports the wrong SimFile version VPC Parameter nicht korrekt
-397,hard error,Fault by the measurement of the suction gas temperature (RF5M3) Possible fault on Pt100 sensor used for suction gas measurement (RF5M3) Fehler bei der Messung der Sauggastemperatur (RF5M3),
-398,hard error,Fault by the measurement of the intermediate injection of the tandem compressor 1 (RF12M30),Possible fault on Pt100 sensor for intermediate injection measurement (RF12M30) on compressor 1
-399,hard error,Fault by the measurement of the intermediate injection of the Tandem compressor 2 (RF12M31),Possible fault on Pt100 sensor for intermediate injection measurement (RF12M31) on compressor 2
-400,hard error,Fault by the measurement of the Parallel Evaporator end temperature (RF13),Possible fault on Pt100 sensor for measuring the parallel Evap. end temperature (RF13)
-401,hard error,Fault by the measurement of the intermediate injection of the HT stage,
-402,hard error,Fault by the measurement of the machine compartment temperature,Possible fault on Pt100 sensor for measuring the machine compartment temperature
-403,hard error,The winding protection of the LT stage (M4-F10) has tripped,Check power supply to LT stage compressor. Windings have become too hot. Possible intermediate injection problem.  or lack of refrigerant. Check compressor fan if present
-404,hard error,The SMO1 reports: Incorrect Sim-file version,
-405,hard error,The SMO1 reports: SPI – fault message 1,
-406,hard error,the SMO1 reports: SPI- fault message 2,
-407,hard error,The SMO1 reports: SPI - fault message: 'interface busy',
-408,hard error,the SMO1 reports: SPI – 'data register not free',
-409,hard error,The SMO1 reports: Pt100 AD-converter reports it is busy,Das SM01 meldet: 'Pt100 AD Wandler meldet: busy'
-410,hard error,The SMO1 reports: Pt100 AD-converter is at end stop,
-411,hard error,The SMO2 reports: incorrect Sim-file version,
-412,hard error,The SMO2 reports: SPI - fault message 1,
-413,hard error,The SMO2 reports: SPI – fault message 2, -414 [hard error]. the SMO2 reports: SPI – fault message: 'interface busy'
-415,hard error,The SMO2 reports: SPI 'data register not free',
-416,hard error,The SMO2 reports: Pt100 AD-converter reports it is busy,Das SM02 meldet: 'Pt100 AD Wandler meldet: busy'
-417,hard error,The SMO2 reports: Pt100 AD-converter is at end stop,
-418,hard error,The TDM1 reports: Incorrect Sim-file version,
-419,hard error,The TDM1 reports: SPI - fault message 1,
-420,hard error,The TDM1 reports: SPI - fault message 2,
-421,hard error,The TDM1 reports: SPI - fault message: 'interface busy',
-422,hard error,The TDM1 reports: SPI 'data register not free',
-423,hard error,An element of the pump error chain has tripped Check connectors and contacts,
-424,hard error,The TDM1 reports: Pt100 AD-converter reports it is busy,Das TDM1 meldet: 'Pt100 AD Wandler meldet Busy'
-425,hard error,The TDM1 reports: Pt100 AD-converter is on the endstop (full range),
-426,hard error,An error has occurred in reading the controller-EEPROM. All 3 values read out were unequal. Try a factory default setting. Check controller by substitution,
-427,hard error,An error has occurred in reading out the machine-EEPROM. All 3 values read out were unequal,Try a factory default setting
-428,hard error,A factory reset could not be carried out, as an error accessing the EPROM has occurred. SIMfile not ok. Try a factory default setting
-429,hard error,At least one of the two fans M10.4 and M10.5 reports a fault,Check fan supplies ok. Check connectors
-430,hard error,The temperature of the electrical compartment has risen to over 70 °C ,Check electrical compartment fans operating.  and air circulation ok
-431,hard error,The superheat of the intermediate injection of the LT-stage is too small,
-432,hard error,The superheat of the intermediate injection of the HT-stage is too small,
-433,hard error,The circuit breaker for the fan has tripped,The digital input for the HT-Stage pressure switch F5M3 and the circuit breaker for QM10 is fluttering
-435,hard error,the TDM2 reports: incorrect Sim-file version,
-436,hard error,The TDM2 reports: SPI - fault message 1,
-437,hard error,The TDM2 reports: SPI - fault message 2,
-438,hard error,The TDM2 reports: SPI - fault message: 'interface busy',
-439,hard error,The TDM2 reports: SPI 'data register not free',
-440,hard error,The TDM2 reports: Pt100 AD-converter reports it is busy,TDM2 meldet: 'Pt100 AD Wandler meldet: busy'
-441,hard error,The TDM2 reports: Pt100 AD-converter is at end stop,
-442,hard error,The DSM1 reports: incorrect Sim-file version,Pt100 sensor of the intermediate injection end MT stage is faulty Check connectors
-444,hard error,Pt100 sensor of the intermediate injection end LT stage is faulty Check connectors,
-445,hard error,The SMO1 reports that the condensation monitor has tripped,Condensation temperature too high. Check cooling water / air. If air cooled.  check fans all rotating at same speed. Clean condenser
-446,hard error,The SMO1 reports that the MOP monitor has tripped,MOP too high. HT Compressor running. Check fuses. Check controller by substitution
-447,hard error,The SMO1 reports that the Min Flow monitor has tripped,Min flow too low. Possible leak. Check refrigerant sight glass is full - no bubbles. Check suitable fluid
-448,hard error,the SMO1 reports that the superheat monitor has tripped,Superheat too small. Possible wrong or impure fluid
-449,hard error,The SMO2 reports that the condensation monitor has tripped,Condensation too high Possible HT stage lack of power:
-450,hard error,The SMO2 reports that the MOP monitor has tripped,MOP too high. MT compressor running. Check fuses
-451,hard error,The SMO2 reports that the Min Flow monitor has tripped,Min Flow too low. Possible MT stage refrigerant leak. Check refrigerant sight glass is full. No bubbles
-452,hard error,the SMO2 reports the superheat monitor has tripped,MT stage superheat too small
-453,hard error,Over current relay of the HT stage (F2M3) has operated,Reset HT compressor over current relay F2M3 by hand. Check power supplies to compressor. Check all phases reaching compressor
-454,hard error,Sensor Cooling water / air inlet faulty,Check condensation / cooling water / air inlet Pt100. Check connectors and wiring
-455,hard error,sensor cooling water / air exit faulty,Check condensation / cooling water / air outlet Pt100. Check connectors and wiring. The active board does not report any more. Check connectors on active board and on adapter board on 15 pin accessories connector: Possible CAN-Bus problem. The active board (A7.4) notifies: all data is not the same when reading out the EEPROM. (Active board EEPROM or SIMfile defective). Check all connectors. Make a Factory reset. The active board (A7.4) notifies: No SimFile present. The active board (A7.4) notifies an unknown error
-460,hard error,Over current relay of the LT stage (F2M4) has operated,Reset F2M4 by hand. Check power supply for correct voltage and frequency. Check actuating relay not stuck or any loose wiring
-461,hard error,Motor over current trip for the pump motor (QP1) has operated,Reset QP1 by hand. Check pump motor turns freely.  Check power supply for correct voltage and frequency. Check fluid viscosity at lowest temperature
-462,hard error,Pressostat HT, safety pressure limiter (F8M3) has operated. Check cooling water / air / fans for correct operation. Clean water filter / condenser fins. Check air circulation and temperature with air cooled machines
-463,hard error,Motor over current trip for the HT compressor (QV1.1-HT) has operated,1-HT by hand. Check power supply for correct voltage and frequency. Check actuating relay not stuck or any loose wiring
-464,hard error,LT stage Pressostat Over pressure protection (F8M4) has operated,Probable fault or lack of power in HT stage. Check HT stage refrigerant sight glass for bubbles. Check cooling water /air temperature and flow. Analogue level sensor fault. Re-teach the level sensor. Check connectors and wiring. The cooling water valve (KWV or SWV) has not been found. Check connections / connectors / wiring for loose connections. Check and note for lit LEDs on water valve rear side. The cooling water valve (KWV or SWV) communication failed. Check connections / connectors / wiring for loose connections. Check and note for lit LEDs on water valve rear side
-468,hard error,The KWV communicates that it does not receive any more data from the controller,Check connections / connectors / wiring for loose connections. Check and note for lit LEDs on water valve rear side
-469,hard error,The KWV communicates a fault to the controller,Check connections / connectors / wiring for loose connections. Check and note for lit LEDs on water valve rear side
-470,hard error,Cooling water outlet temperature is too high,Not enough cooling water flowing or inlet temp to high. Check water inlet temperature.  filters and differential pressure
-471,hard error,The temperature of the expansion vessel is too high (CC401),It is probable that a lower boiling point component in the thermal fluid is boiling. This must be identified and removed by slow.  careful degassing. Check expansion tank over-temp setting. Can be up to 70°C.  or 100°C when in degassing mode
-472,hard error,The temperature of the expansion pipes are too high,It is probable that a lower boiling point component in the thermal fluid is boiling. This must be identified and removed by slow.  careful degassing. Check expansion tank over-temp setting. Can be up to 70°C.  or 100°C when in degassing mode
-473,hard error,The UCT board does not communicate any more,Defective board.  or CAN-Bus problem. Change board.  check CAN-bus connections and flat band cable to Over Temp board
-474,hard error,The over temperature board (OT) does not communicate any more (Via CAN),Defective board.  or CAN-Bus problem. Change board.  check CAN-bus connections and flat band cable to Over Temp board
-475,hard error,The LT stage thermal monitor in M4 (M4-F9) has operated,LT compressor motor windings too hot. Check cooling fan for compressor. Check LT stage refrigerant sight glass for bubbles
-476,hard error,The fan status contact has operated,Check fan power supply present. Check fan connectors. Check fan by replacement. An evaporator freezing event was observed.  The evaporation pressure in evaporator is too low. Check refrigerant sight glass for bubbles. Check thermal fluid circulation. An evaporator freezing event was observed. The evaporator-end temperature is too low. Check refrigerant sight glass for bubbles. Check thermal fluid circulation
-479,hard error,The UC-board was not found,
-480,hard error,The thermistor monitoring system with integrated phase relay for the HT stage (M3-F30) has operated,Either supply voltage/phases to HT compressor incorrect.  or the HT compressor windings have become too hot. Check power supply phases / voltage. Check operating relay for sticking
-481,hard error,The stepper motor operated water valve 1 reports: 'Hardware could not be found',Check connections / connectors / wiring for loose connections. Check and note for lit LEDs on water valve rear side
-482,hard error,The stepper motor operated water valve 1 reports: 'Wrong Sim-File in module,
-483,hard error,The stepper motor operated water valve 1 reports: Wrong Sim-File version,
-484,hard error,The stepper motor operated water valve 1 reports:: 'No CAN-communication',Check connections / connectors / wiring for loose connections. Check and note for lit LEDs on water valve rear side
-485,hard error,The stepper motor operated water valve 1 has reported a fault,Check connections / connectors / wiring for loose connections. Check and note for lit LEDs on water valve rear side
-486,hard error,The UC-Board reports: EEPROM is empty,UC board not programmed. Possible new UC board required. Das UCT-Board meldet: EEPROM ist leer
-487,hard error,The UC-Board reports: It is not possible to write to the EEPROM,Try a factory default setting. Check controller by substitution. Possible new UC board required.  Check controller by substitution. Possible new UC board required
-488,hard error,The UC-Board reports: It is not possible to read from the EEPROM,Try a factory default setting. Check controller by substitution. Possible new UC board required.  Check controller by substitution. Possible new UC board required
-489,hard error,The UC-Board reports: Fault in 2 from 3 EEPROM data comparison,Try a factory default setting. Check controller by substitution. Possible new UC board required.  Check controller by substitution. Possible new UC board required
-490,hard error,The UC-Board reports: Fault when copying the data structure,Try a factory default setting. Check controller by substitution. Possible new UC board required.  Check controller by substitution. Possible new UC board required
-491,hard error,The UC-Board reports:: Hardware cannot be found,Try a factory default setting. Check controller by substitution. Possible new UC board required.  Check controller by substitution. Possible new UC board required
-492,hard error,The UC-Board reports: Wrong SimFile,
-493,hard error,The UC-Board reports: Fluttering on input 0 Check UC board connections,
-494,hard error,The UC-Board reports: Fluttering on input 1 Check UC board connections,
-495,hard error,The UC-Board reports: Fluttering on input 2 Check UC board connections,
-496,hard error,The UC-Board reports: Fluttering on input 3 Check UC board connections,
-497,hard error,The UC-Board reports: Fluttering on input 4 Check UC board connections,
-498,hard error,The UC-Board reports: Fluttering on input 5 Check UC board connections,
-499,hard error,The UC-Board reports: Fluttering on input 6 Check UC board connections,
-500,hard error,The UC-Board reports: Fluttering on input 7 Check UC board connections,
-501,hard error,The UC-Board reports: No CAN-communication Check UC board connections,
-502,hard error,The UC-Board reports a fault,Check UC board connections
-503,hard error,The HT stage pressostat has operated. Reason is that the fan is not running, Check cooling fan connections and connector and power supply
-504,hard error,The temperature of the floating seal was continuously too high during the last 30 minutes. Insufficient shaft seal cooling. Check water flow and inlet temperature,
-505,hard error,The temperature of the shaft throat heat sink was continually too high during the last 30 minutes,Insufficient throat seal cooling. Check water flow and inlet temperature
-506,hard error,Status contact of the fan 2 has operated,Check fan 2 connections and connector and power supply
-507,hard error,No water flow registered Water valve open,Check water connections.  water filter and that water pressure is available
-508,hard error,The VPC is not present,Check VPC connections and cable to accessories connector
-509,hard error,The LT compressor cannot be started. The condensation and evaporation of the LT stage are too high,Check HT / MT compressor is running. Check HT / MT refrigerant sight glass is full and no bubbles
-510,hard error,The middle stage compressor cannot be started. The condensation and evaporation of the MT,stage are too high. The RAM Test of the Unistat Control has detected a faulty memory. Reflash Controller software. If unsuccessful.  Replace Controller. The RAM Test of the Unistat pilot has detected a faulty memory. Reflash Pilot software. If unsuccessful.  Replace Pilot. did not recognize graphic chip. Reflash Pilot software. If unsuccessful.  Replace Pilot. Reflash Pilot software. If unsuccessful.  Bitte Pilot ersetzen. Registers of the S1D13705 were changed. Reflash Pilot software. CRC-Check of pilot not successful. CRC-Check of the Unistat Control not successful. Reflash Controller software. If unsuccessful.  Replace Controller
-517,hard error,communication problems with Active Board have been detected,Check connections to active board and adapter board on 15 pin service socket. If ok check Pilot by exchange. Possible Active board defect. Possible Software problem
-518,hard error,communication problems with Active Board has been detected (structures different),Possible software incompatibility between Pilot and Active board. Re-flash Pilot and active board. If no better exchange Active board
-519,hard error,this should never happen, if so.  think about changing something in the CAN driver
-520,hard error,Flash check of the panel not successful (program code in flash has been damaged),Reflash Pilot software. If unsuccessful.  replace Pilot and/or Active Board or controller
-521,hard error,Data was different when comparing 2 out of 3 in Control Panel EEPROM,Try a factory default setting. Check Pilot by substitution. Possible new UC board required.  Check Pilot by substitution. Possible new UC board required
-522,hard error,the software version of the Active Board is incompatible Re-Flash active board and Pilot,Softwareversion vom Active Board ist nicht kompatibel Bitte das Active Board und den Pilot neu flashen
-523,hard error,Active Board not in a correct state. AB Simfile existing,check earthing of machine and electrical cabinet. Effect caused by static build up. Also possible graphics mode bug in Pilot. Change to Normal display mode.  for software. error all data was wrong when executing 2 out of 3 comparison for Pilot EEPROM. Make factory reset. If no better.  possible faulty Pilot - Replace or reflash
-525,hard error,the analogue input error chain is not working correctly,
-526,hard error,The pump rotates although is should be switched off, as the fluid has not yet reached the required temperature. For CC402. possible active board or pump motor fault
-527,hard error,During the pre-heating with a Unistat CC402 (pump is off) a temperature of greater than 140°C has been reached in the heating chamber,Check heater control
-528,hard error,During initialisation, the temperature/pressure module 3 was not found
-529,hard error,The Temperature/pressure module 3 does not acknowledge any more,Check CAN-Bus connections. Possible module defect. Check LEDs on module are lit
-530,hard error,The TDM3 notifies: 'hardware cannot be found',
-531,hard error,The TDM3 notifies: 'Incorrect Sim-File in module,
-532,hard error,The TDM3 notifies: 'No CAN-communication',Check Can-Bus connection.  possible TDM3 module fault. Check LEDs on module. Das TDM3 meldet: 'Keine CAN-Kommunikation'
-533,hard error,The TDM3 has notified a fault,Check Can-Bus connection.  possible TDM3 module fault. Check LEDs on module
-534,hard error,The TDM3 notifies: Incorrect Sim-File version,Check Can-Bus connection.  possible TDM3 module fault. Check LEDs on module
-535,hard error,The TDM3 notifies: SPI-fault message 1 (not further defined),Check Can-Bus connection.  possible TDM3 module fault. Check LEDs on module
-536,hard error,The TDM3 notifies: SPI-fault message 2 (not further defined),Check Can-Bus connection.  possible TDM3 module fault. Check LEDs on module
-537,hard error,The TDM3 notifies: SPI-fault message Interface busy,Check Can-Bus connection.  possible TDM3 module fault. Check LEDs on module
-538,hard error,The TDM3 notifies: SPI-fault message Data register busy,Check Can-Bus connection.  possible TDM3 module fault. Check LEDs on module
-539,hard error,The TDM3 notifies: Pt100 AD-converter busy,Check connections.  possible TDM3 module fault. Check LEDs on module. Das TDM3 meldet: Pt100 AD-Wandler meldet Busy
-540,hard error,The TDM3 notifies: Pt100 AD-converter is on end stop,Check connections.  possible TDM3 module fault. Check LEDs on module
-541,hard error,During initialisation, The stepper motor module 3 was not found. Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-542,hard error,The stepper motor module 3 does not respond,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-543,hard error,The SMO3 notifies: 'Hardware cannot be found,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-544,hard error,The SMO3 notifies: 'Incorrect Sim File is module,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-545,hard error,The SMO3 notifies 'No CAN communication',Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module.
-546,hard error,The SMO3 has notified a fault,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-547,hard error,The SMO3 notifies: incorrect SIM file version,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-548,hard error,The SMO3 notifies: SPI-fault message 1 (not further defined),Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-549,hard error,The SMO3 notifies: SPI-fault message 3 (not further defined),Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-550,hard error,The SMO3 notifies: SPI-fault message Interface is busy,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-551,hard error,The SMO3 notifies: SPI-fault message data register is busy,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-552,hard error,The SMO3 notifies: Pt100 AD-converter notifies it is busy,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module. Das SMO3 meldet: Pt100 AD-Wandler meldet Busy
-553,hard error,The SMO3 notifies: Pt100 AD-converter is at the end stop,Check connections.  CAN-Bus connections.  possible Stepper motor module modul fault. Check LEDs on module
-554,hard error,The SMO3 notifies, that the condensation-monitor has tripped. Condensation too high for stage driven by stepper motor module 3
-555,hard error,The SMO3 notifies, that the MOP-monitor has tripped. MOP too high for stage driven by stepper motor module 3. Compressor running
-556,hard error,The SMO3 notifies, that the SGD-monitor has tripped. Min Flow too low for stage driven by stepper motor module 3. Possible refrigerant leak. Check refrigerant fluid sight glass for no bubbles
-557,hard error,
-558,hard error,The frequency converter T1 of pump reports a fault. Possible converter fault,
-559,hard error,The temperature of the pump motor is too high,Check pump motor power supplies. Check motor rotates freely. Check fluid is not too viscous. Possible pump motor fault. The wellhead supplies no more water. The pump is running.  but no water flows. Check wellhead valves. Check for pipe blockage
-561,hard error,The rechargeable battery notifies that the power supply is not available any more,
-562,hard error,The rechargeable battery error,Leave machine in standby for a few hours for the battery to recharge. If this fails then a new battery / Pilot may be required
-563,hard error,A fault has occurred during the current test: NTR return message 1 is LOW, but should be HIGH
-564,hard error,A fault has occurred during the current test: NTR return message 2 is LOW, but should be HIGH
-565,hard error,A fault has occurred during the current test: Current flow with K1 off / Opto off has been detected,
-566,hard error,A fault has occurred during the current test: Minimum current with K1 off / Opto off Is outside the tolerance range (5.0 +- 0,2V)
-567,hard error,A fault has occurred during the current test: Maximum current with K1 off / Opto off is outside the tolerance range,
-568,hard error,A fault has occurred during the current test: Current flow with K1 off / Opto on has been detected,
-569,hard error,A fault has occurred during the current test: Minimum current with K1 off / Opto on is outside the tolerance range (5.0 +- 0,2V)
-570,hard error,A fault has occurred during the current test: Maximum current with K1 off / Opto on is outside the tolerance range,
-571,hard error,A fault has occurred during the current test: No OT (Over temp) release has been received,
-572,hard error,A fault has occurred during the current test: NTR Return message 1 is HIGH, but should be LOW
-573,hard error,A fault has occurred during the current test: NTR Return message 2 is HIGH, but should be LOW
-574,hard error,A fault has occurred during the current test: Current flow with K1 on / Opto off has been detected,
-575,hard error,A fault has occurred during the current test: Minimum current with K1 on / Opto off is outside the tolerance range (5.0 +- 0,2V)
-576,hard error,A fault has occurred during the current test: maximum current with K1 on / Opto off is outside the tolerance,
-577,hard error,A DEM1 is present on the CAN-Bus, but according to the SimFile it should not be there
-578,hard error,A DEM2 is present on the CAN-Bus, but according to the SimFile it should not be there
-579,hard error,A DEM3 is present on the CAN-Bus, but according to the SimFile it should not be there
-580,hard error,A DEM4 is present on the CAN-Bus, but according to the SimFile it should not be there
-581,hard error,A DEM5 is present on the CAN-Bus, but according to the SimFile it should not be there
-582,hard error,A DEM6 is present on the CAN-Bus, but according to the SimFile it should not be there
-583,hard error,A DAM1 is present on the CAN-Bus, but according to the SimFile it should not be there
-584,hard error,A DAM2 is present on the CAN-Bus, but according to the SimFile it should not be there
-585,hard error,A DAM3 is present on the CAN-Bus, but according to the SimFile it should not be there
-586,hard error,A DAM4 is present on the CAN-Bus, but according to the SimFile it should not be there
-587,hard error,An SMO1 is present on the CAN-Bus, but according to the SimFile it should not be there
-588,hard error,An SMO2 is present on the CAN-Bus, but according to the SimFile it should not be there
-589,hard error,An SMO3 is present on the CAN-Bus, but according to the SimFile it should not be there
-590,hard error,A TDM1 is present on the CAN-Bus, but according to the SimFile it should not be there
-591,hard error,A TDM2 is present on the CAN-Bus, but according to the SimFile it should not be there
-592,hard error,A TDM3 is present on the CAN-Bus, but according to the SimFile it should not be there
-593,hard error,An OT is present on the CAN-Bus, but according to the SimFile it should not be there
-594,hard error,A T2M1 is present on the CAN-Bus, but according to the SimFile it should not be there
-595,hard error,A T2M2 is present on the CAN-Bus, but according to the SimFile it should not be there
-596,hard error,A UC-Board is present on the CAN-Bus, but according to the SimFile it should not be there
-597,hard error,A DSM1 is present on the CAN-Bus, but according to the SimFile it should not be there
-598,hard error,An SKM1 is present on the CAN-Bus, but according to the SimFile it should not be there
-599,hard error,An SWV1 / KWV1 is present on the CAN-Bus, but according to the SimFile it should not be there. PL-M1 Collective error message Pump 1. PL-M1 Sammelstörmeldung Pumpe 1. PL-M1 Collective operating message Pump 1. PL-M1 Collective error message Pump 2. PL-M1 Sammelstörmeldung Pumpe 2. PL-M1 Collective operating message Pump 1. Motor protection relay HK-QV1-NT has tripped Check power supply voltage correct. Faulty behaviour on accessing EEPROM
-607,hard error,The thermal contact of the HT stage compressor has operated,Compressor too hot. Check correct supply voltage. Check cooling water and air flow of compressor cooling fan (if fitted). Possible lack of refrigerant. Check refrigerant sight glass for bubbles. The receive buffer of the CAN-MemCopy protocol is full. The received fragment of the CAN-MemCopy protocol is faulty. The data length of the data received via the CAN-MemCopy protocol is incorrect. The CAN-MemCopy transmit queue is over-full
-612,hard error,The modbus tcp socket could not be set up,
-614,hard error,During the initialisation, the safety circuit module 2 was not found
-615,hard error,The safety circuit module 2 does not answer,
-616,hard error,An SKM2 is present on the CAN-Bus, although according to the SimFile.  it should not be present
-617,hard error,the safety circuit module 2 has notified an error,
-618,hard error,
-619,hard error,The safety circuit module 2 has notified: 'short circuit sensor PT1' Safety circuit module 2, Sensor PT1 or module faulty
-620,hard error,The safety circuit module 2 has notified: 'open circuit sensor PT1',Safety circuit module 2.  Sensor PT1 faulty or module faulty or bad contact on plug or wiring to sensor
-621,hard error,The safety circuit module 2 has notified: 'Reference current sensor PT1.' Safety circuit module 2 Sensor PT1 or module faulty,
-622,hard error,
-623,hard error,The safety circuit module 2 has notified: 'Short circuit sensor PT2' Safety circuit module 2 Sensor PT2 or module faulty,
-624,hard error,The safety circuit module 2 has notified: 'open circuit sensor PT2',Safety circuit module 2 Sensor PT2 or module faulty or bad contact on plug or wiring to sensor
-625,hard error,The safety circuit module 2 has notified: 'reference current sensor PT2.' Safety circuit module 2 Sensor PT1 or module faulty,
-626,hard error,The safety circuit module 2 has notified: 'over temperature sensor PT3' Safety circuit module 2, PT3 sensor.  Over Temperature setting too low
-627,hard error,The safety circuit module 2 has notified: 'short circuit sensor PT3' Safety circuit module 2 Sensor PT3 or module faulty,
-628,hard error,The safety circuit module 2 has notified: 'open circuit sensor PT3',Safety circuit module 2 Sensor PT3 or module faulty or bad contact on plug or wiring to sensor
-629,hard error,The safety circuit module 2 has notified: 'reference current sensor PT3.' Safety circuit module 2 Sensor PT3 or module faulty,
-630,hard error,The safety circuit module 2 has notified: 'over temperature PT reference' Safety circuit module 2 faulty,
-631,hard error,The safety circuit module 2 has notified: 'short circuit PT reference' Safety circuit module 2 faulty,
-632,hard error,The safety circuit module 2 has notified: 'open circuit PT reference' Safety circuit module 2 faulty,
